YEAR,ARAB_FEM_PERC
1936,0.6896551724137931
1948,0.07147962830593281
1960,0.4819277108433735
1964,3.4979423868312756
1972,1.0309278350515463
1976,4.114490161001789
1980,4
1984,5.360824742268041
1988,7.0552147239263805
1992,19.86035686578743
1994,39.608801955990224
1996,23.85261797026503
1998,48.099415204678365
2000,30.586186883343007
2002,53.350515463917525
2004,26.8760907504363
2006,51.527224435590966
2008,34.129692832764505
2010,55.45171339563863
2012,36.03603603603604
2014,44.269340974212035
2016,36.29392971246006
