YEAR,US_FEM_PERC
1904,1.0526315789473684
1920,3.1790295593976574
1924,5.327102803738318
1928,6.751054852320675
1932,14.111787493082456
1936,7.006697578567748
1948,12.105855855855856
1952,24.712888132709484
1956,29.677419354838708
1960,31.09957527135441
1964,33.16742081447964
1968,33.134836239897915
1972,33.463035019455255
1976,32.51063829787234
1980,32.214765100671144
1984,33.938294010889294
1988,39.01425178147269
1992,41.41893579815139
1994,41.52542372881356
1996,42.3572136018488
1998,42.92965917331399
2000,43.14461118690314
2002,40.90634441087613
2004,40.48796571051764
2006,37.42296918767507
2008,43.93320964749536
2010,37.74617067833698
2012,44.28404213811939
2014,36.89942344650865
2016,45.646067415730336
